,IYC,IDU,IYZ,IYW,IYJ,IYH,IYF,IYE,IYK,IYM,IYR
2005-03-24 00:00:00+00:00,12.4866589413,20.5726631017,14.1837772574,9.8878277499,21.8345530093,45.9879883653,32.829937782,16.5229375221,36.2873011371,37.7983222922,28.8933260854
2005-03-28 00:00:00+00:00,12.5613526797,20.5960278525,14.1587286441,9.870091736,21.8306202728,46.0274698113,32.9870363047,16.4604858144,36.4268945248,37.6391714615,28.8777655471
2005-03-29 00:00:00+00:00,12.4098310962,20.3185714364,14.096107111,9.8324027064,21.4845394614,45.7432033997,32.8408981441,16.2396744193,36.1197890718,36.7299486602,28.8362707785
2005-03-30 00:00:00+00:00,12.5784255341,20.6106308218,14.2902338637,9.9476867968,21.7834274349,46.501247164,33.2135504536,16.505094177,36.7060813002,37.2309790531,29.2071302732
2005-03-31 00:00:00+00:00,12.5848278546,20.8209135792,14.3403310902,9.9321677846,21.7008399685,46.1538104387,33.1368279193,16.7950485342,36.6083659288,37.6362242239,29.0982065055
2005-04-01 00:00:00+00:00,12.4311721643,20.9143725825,14.3027581703,9.8590067273,21.5592614548,45.8537514487,32.826284328,17.1608371078,36.3501181615,37.6141199419,29.1760091967
2005-04-04 00:00:00+00:00,12.5037317958,20.9406579272,14.4467876966,9.8989127585,21.5002704074,45.9879883653,32.9687690346,17.0024774205,36.5106505574,37.4299175915,29.0333709295
2005-04-05 00:00:00+00:00,12.5848278546,21.0574816813,14.515671383,9.8745257394,21.5828578737,46.8960616245,32.9833828507,16.7459793353,36.7270203084,37.4741261556,29.0463380447
2005-04-06 00:00:00+00:00,12.5293410775,21.0136727735,14.5125403064,9.8567897255,21.6025215562,46.9434393598,33.1806693675,17.0671595463,36.6362846064,37.6583285059,29.3004935026
2005-04-07 00:00:00+00:00,12.5869619614,21.16262306,14.5970793761,10.0186308524,21.7244363875,47.3777352664,33.2646988099,17.0136295111,36.8526543573,37.9604203605,29.4094172703
2005-04-08 00:00:00+00:00,12.4738543005,21.0604022751,14.515671383,9.912214769,21.6143197657,47.0934688548,33.049145023,16.7147534814,36.8177560104,37.3930771214,28.9296340079
2005-04-11 00:00:00+00:00,12.4589155528,21.1772260293,14.5094092297,9.8590067273,21.5907233467,47.0855725656,33.0747192011,16.8039702067,36.6991016308,37.2825557112,29.2797461183
