Date,IYH,IYM,IYHMA10,IYHMA50,IYHsignal,IYHPosition,IYMMA10,IYMMA50,IYMsignal,IYMPosition
2008-02-29,53.3239306269,59.3629507814,54.164476898610005,55.884738390824,0.0,0.0,60.368997394740006,57.79060205767801,1.0,0.0
2008-03-03,53.364536727,60.1147729809,54.07595560042999,55.798971670666,0.0,0.0,60.551914960800005,57.841537365234,1.0,0.0
2008-03-04,53.3076881869,58.8126479344,53.96875549622,55.715308270432,0.0,0.0,60.45270543345,57.86534980710601,1.0,0.0
2008-03-05,53.2914457469,60.2620371231,53.872112978029996,55.623381309120006,0.0,0.0,60.42247753059,57.898549129357995,1.0,0.0
2008-03-06,52.1707173846,59.4869626906,53.72430677373001,55.495430559514,0.0,0.0,60.42325260501999,57.886459763316,1.0,0.0
2008-03-07,51.5453834434,57.130736416,53.5066580773,55.354001043866,0.0,0.0,60.141900586039995,57.817985602462,1.0,0.0
2008-03-10,50.879443402,55.1000414029,53.12414861453,55.200224814608,0.0,0.0,59.492388211640005,57.699482934204006,1.0,0.0
2008-03-11,50.7576251018,58.23134211,52.716463369710006,55.05761619112201,0.0,0.0,59.15910620568,57.66072921258,1.0,0.0
2008-03-12,50.6601704616,57.991069036,52.33476602895,54.913545748034004,0.0,0.0,58.80412211562,57.618720178342,1.0,0.0
2008-03-13,50.9444131622,59.3086955712,52.02453542433,54.784580774176,0.0,0.0,58.58012560465001,57.611899523337996,1.0,0.0
2008-03-14,50.1566548206,58.5491226274,51.7078078437,54.649118824304004,0.0,0.0,58.49874278924999,57.597328124008,1.0,0.0
2008-03-17,50.0673214004,56.9679707852,51.37808631104,54.50537323001599,0.0,0.0,58.184062569679995,57.54059267555401,1.0,0.0
2008-03-18,50.9931404823,59.0529210084,51.146631540579996,54.39183857419,0.0,0.0,58.20808987708,57.558419387499995,1.0,0.0
2008-03-19,50.8063524219,55.2318040565,50.898122208080004,54.25199116551,0.0,0.0,57.70506657042,57.515790293716,1.0,0.0
2008-03-20,51.2367770827,55.053536937,50.80472817789,54.116204366836,0.0,0.0,57.26172399506,57.489747792786005,0.0,-1.0
2008-03-24,51.6347168635,56.7121962224,50.813661519899995,53.968235738138,0.0,0.0,57.2198699757,57.491607971422,0.0,0.0
2008-03-25,51.7655594635,58.2969389845,50.90227312605,53.821422141838,0.0,0.0,57.53955973386,57.509196471992,1.0,1.0
2008-03-26,51.5618542869,58.7476484568,50.98269604456,53.66955989560401,0.0,0.0,57.591190368540005,57.54370492122,1.0,0.0
2008-03-27,51.5537060799,58.0560425424,51.072049606389996,53.523219539242,0.0,0.0,57.59768771918,57.523303857388,1.0,0.0
2008-03-28,51.1544439338,57.7918335414,51.09305268355,53.385298804390004,0.0,0.0,57.4460015162,57.533582067202005,0.0,-1.0
2008-03-31,51.0240726208,57.6752707469,51.17979446357,53.237623969664,0.0,0.0,57.358616328150006,57.588496981584,0.0,0.0
2008-04-01,52.2137108519,58.8408986924,51.39443340872,53.136643740006,0.0,0.0,57.54590911887001,57.72702524572001,0.0,0.0
2008-04-02,51.9203753976,59.5480463127,51.48715690025,53.047824285454,0.0,0.0,57.5954216493,57.86590013736401,0.0,0.0
2008-04-03,51.8633379482,60.6670491405,51.592855452879995,52.991974830226,0.0,0.0,58.138946157700005,58.035990934093995,1.0,1.0
2008-04-04,52.3033411295,62.0502609692,51.699511857560005,52.94719938022799,0.0,0.0,58.83861856092,58.224755103982005,1.0,0.0
2008-04-07,52.5559355485,61.8793022039,51.79163372606,52.910399457816,0.0,0.0,59.355329159069996,58.373981630012004,1.0,0.0
