,IVV
2013-11-04,150.8535382051
2013-11-05,150.4293395149
2013-11-06,151.1504772882
2013-11-07,149.2415831824
2013-11-08,151.2692529215
2013-11-11,151.2692529215
2013-11-12,150.9298939693
2013-11-13,152.1006823542
2013-11-14,153.0084675512
2013-11-15,153.6617335341
2013-11-18,153.1526951059
2013-11-19,152.7794002585
2013-11-20,152.2958137517
2013-11-21,153.4750861104
2013-11-22,154.272579648
2013-11-25,154.1198681195
2013-11-26,154.1453200409
2013-11-27,154.5270988621
2013-11-29,154.3743873336
2013-12-02,154.0435123553
2013-12-03,153.4581181628
2013-12-04,153.279954713
2013-12-05,152.7030444943
2013-12-06,154.3998392551
2013-12-09,154.7391982072
2013-12-10,154.2640956742
2013-12-11,152.4739772016
2013-12-12,152.0073586424
2013-12-13,151.9479708258
2013-12-16,152.8557560228
2013-12-17,152.3382336207
2013-12-18,154.9767494737
2013-12-19,154.8834257619
2013-12-20,155.7063712208
2013-12-23,156.5705869704
2013-12-24,157.0225855057
2013-12-26,157.781601914
2013-12-27,157.747488817
2013-12-30,157.6707343487
2013-12-31,158.327411466
2014-01-02,156.9287744889
2014-01-03,156.8605482949
2014-01-06,156.4341345824
2014-01-07,157.3978295727
2014-01-08,157.4831123152
2014-01-09,157.5598667835
2014-01-10,157.9692239475
2014-01-13,155.8797967561
2014-01-14,157.542810235
2014-01-15,158.4382790313
2014-01-16,158.1653742553
2014-01-17,157.5598667835
2014-01-21,157.9948087703
2014-01-22,158.1056763355
2014-01-23,156.8093786494
2014-01-24,153.4236537718
2014-01-27,152.6219959923
2014-01-28,153.6112758053
2014-01-29,152.1273560857
2014-01-30,153.7647847419
2014-01-31,152.8010897515
2014-02-03,149.3897800512
2014-02-04,150.4131729613
2014-02-05,150.2170226535
2014-02-06,152.2211671025
2014-02-07,154.2082550029
2014-02-10,154.4214618592
2014-02-11,156.1271167093
2014-02-12,156.2550408231
2014-02-13,157.0140572314
2014-02-14,157.849828108
2014-02-18,158.088619787
2014-02-19,157.0396420542
2014-02-20,157.9265825762
2014-02-21,157.8412998337
2014-02-24,158.5065052253
2014-02-25,158.5832596936
2014-02-26,158.5832596936
2014-02-27,159.4275588444
2014-02-28,159.7686898144
2014-03-03,158.7026555331
2014-03-04,161.0308744035
2014-03-05,160.9626482095
2014-03-06,161.4231750191
2014-03-07,161.5255143101
2014-03-10,161.4572881161
2014-03-11,160.6556303365
2014-03-12,160.6718340576
2014-03-13,158.8561644696
2014-03-14,158.4212224828
2014-03-17,159.8710291054
2014-03-18,161.047930952
2014-03-19,160.16099043
2014-03-20,161.0991005975
2014-03-21,160.4935931257
2014-03-24,159.8198594599
2014-03-25,160.6049220706
2014-03-26,159.4056746926
2014-03-27,159.1315610062
2014-03-28,159.8082791695
2014-03-31,161.1617154961
2014-04-01,162.2239060309
2014-04-02,162.7464352456
2014-04-03,162.592246297
2014-04-04,160.6648844395
2014-04-07,158.8231831091
2014-04-08,159.5341654831
2014-04-09,161.2473760231
2014-04-10,157.8123888905
2014-04-11,156.4161223004
2014-04-14,157.6410678365
