,IYC,IDU,IYZ,IYW,IYJ,IYH,IYF,IYE,IYK,IYM,IYR,IYCMA10,IYCMA50,IYCsignal,IYCPosition,IDUMA10,IDUMA50,IDUsignal,IDUPosition,IYZMA10,IYZMA50,IYZsignal,IYZPosition,IYWMA10,IYWMA50,IYWsignal,IYWPosition,IYJMA10,IYJMA50,IYJsignal,IYJPosition,IYHMA10,IYHMA50,IYHsignal,IYHPosition,IYFMA10,IYFMA50,IYFsignal,IYFPosition,IYEMA10,IYEMA50,IYEsignal,IYEPosition,IYKMA10,IYKMA50,IYKsignal,IYKPosition,IYMMA10,IYMMA50,IYMsignal,IYMPosition,IYRMA10,IYRMA50,IYRsignal,IYRPosition,DateM,GDP,CPI,Growth,Inflation,Theme
20,9.8220353643,14.6139236268,10.5385949409,7.609852969,15.745493783,39.8397689133,25.8799954001,9.071150677,29.6162940662,25.9926101199,18.3978927943,9.58566147372,,0.0,0.0,14.134926420420001,,0.0,0.0,10.1199948849,,0.0,0.0,7.488881418220001,,0.0,0.0,15.615365735210002,,0.0,0.0,39.052256587989994,,0.0,0.0,25.508100560069998,,0.0,0.0,8.89032755059,,0.0,0.0,29.83084677201,,0.0,0.0,25.706381972750002,,0.0,0.0,18.15205117534,,0.0,0.0,2002-08,2.1406699897993158,2.3567220139260936,low,high,Stagflation
21,9.5949976059,14.3619594263,10.3560829615,7.304148689,15.5962292576,38.6020285199,25.6198077788,8.9940223293,29.6363457209,25.7956964069,18.4828198991,9.67456691373,,0.0,0.0,14.210515680560002,,0.0,0.0,10.23480080744,,0.0,0.0,7.538230823410001,,0.0,0.0,15.668947872539999,,0.0,0.0,39.182219329300004,,0.0,0.0,25.631256034159996,,0.0,0.0,8.93938974958,,0.0,0.0,29.861592642619996,,0.0,0.0,25.73380923992,,0.0,0.0,18.2204398439,,0.0,0.0,2002-08,2.1406699897993158,2.3567220139260936,low,high,Stagflation
22,9.5207329185,14.3831774642,10.0970337004,7.0770540811,15.3398004575,38.400895706,25.134124219,8.7776344647,29.4558808282,25.1908900026,18.6370296419,9.70872866991,,0.0,0.0,14.24605589409,,0.0,0.0,10.27660193821,,0.0,0.0,7.5297147756100005,,0.0,0.0,15.66818241343,,0.0,0.0,39.15437017045,,0.0,0.0,25.619113945160002,,0.0,0.0,8.93467635055,,0.0,0.0,29.80010090139,,0.0,0.0,25.66137312406,,0.0,0.0,18.291286928639998,,0.0,0.0,2002-08,2.1406699897993158,2.3567220139260936,low,high,Stagflation
23,9.5483169452,14.1683448302,9.9498466202,7.1665817631,15.2288088874,38.485990358,25.3249284747,8.6876513924,29.1150026974,25.3174773895,18.5498676133,9.71191144222,,0.0,0.0,14.265417353710001,,0.0,0.0,10.309571844170001,,0.0,0.0,7.51399284122,,0.0,0.0,15.642922262980003,,0.0,0.0,39.11569078316,,0.0,0.0,25.604543438369994,,0.0,0.0,8.90018283948,,0.0,0.0,29.73259366373,,0.0,0.0,25.62480343449,,0.0,0.0,18.342690176239998,,0.0,0.0,2002-08,2.1406699897993158,2.3567220139260936,low,high,Stagflation
24,9.5504387934,14.1338655185,9.8909717881,7.1032573051,15.2134997053,38.4318392158,25.328397643,8.8012014599,29.2754159354,25.6339458569,18.6370296419,9.72145975916,,0.0,0.0,14.30095756725,,0.0,0.0,10.28896565294,,0.0,0.0,7.474251284830001,,0.0,0.0,15.61689665343,,0.0,0.0,39.10408696697,,0.0,0.0,25.596217434489997,,0.0,0.0,8.88261471583,,0.0,0.0,29.675780641939998,,0.0,0.0,25.66559270362,,0.0,0.0,18.38269531242,,0.0,0.0,2002-08,2.1406699897993158,2.3567220139260936,low,high,Stagflation
25,9.2279178655,13.6644164292,9.3610982995,6.7254941591,14.5858232394,36.6680591552,24.266832148,8.4155597211,28.5736080192,24.6845404548,18.4425912705,9.66501859677,,0.0,0.0,14.27894385289,,0.0,0.0,10.16532850559,,0.0,0.0,7.37380559284,,0.0,0.0,15.484854957869999,,0.0,0.0,38.86118041476,,0.0,0.0,25.42449360442,,0.0,0.0,8.82626817289,,0.0,0.0,29.518709346400005,,0.0,0.0,25.543224896239998,,0.0,0.0,18.40593852003,,0.0,0.0,2002-09,2.1406699897993158,2.2447888829502998,low,high,Stagflation
26,9.4422245347,13.5981100607,9.4847354469,6.9001823191,14.8881795858,37.7510819994,24.6657865007,8.3984200883,28.9345378047,24.7970625765,18.4895246705,9.639556418249999,,0.0,0.0,14.237038227969999,,0.0,0.0,10.095267455430001,,0.0,0.0,7.3076424522500005,,0.0,0.0,15.404481751879999,,0.0,0.0,38.76912347299999,,0.0,0.0,25.342621232920003,,0.0,0.0,8.79006069853,,0.0,0.0,29.41109879924,,0.0,0.0,25.48977688842,,0.0,0.0,18.44125031621,,0.0,0.0,2002-09,2.1406699897993158,2.2447888829502998,low,high,Stagflation
27,9.2151867763,13.5530217301,9.1962487697,6.6381500791,14.5437229887,37.4029675138,24.2494863066,8.3941351801,28.9278539198,23.9953424592,18.4269468038,9.56868668804,,0.0,0.0,14.152961752660001,,0.0,0.0,9.97339655304,,0.0,0.0,7.19191154626,,0.0,0.0,15.28124283603,,0.0,0.0,38.567217071330006,,0.0,0.0,25.2055890857,,0.0,0.0,8.75620992369,,0.0,0.0,29.318192798899997,,0.0,0.0,25.30833496713,,0.0,0.0,18.461364630490003,,0.0,0.0,2002-09,2.1406699897993158,2.2447888829502998,low,high,Stagflation
28,9.5907539094,13.6060668249,9.5141728629,6.8346742591,14.8537339261,37.5035339207,24.6310948178,8.5141126099,28.7273373723,24.663442557,18.4314166514,9.52200602742,,0.0,0.0,14.04713678846,,0.0,0.0,9.86271186875,,0.0,0.0,7.08928225227,,0.0,0.0,15.160683027050002,,0.0,0.0,38.26629143818,,0.0,0.0,25.0616186019,,0.0,0.0,8.69857790829,,0.0,0.0,29.193872539450002,,0.0,0.0,25.15713336606,,0.0,0.0,18.47656211239,,0.0,0.0,2002-09,2.1406699897993158,2.2447888829502998,low,high,Stagflation
29,9.6544093557,13.5503694753,9.5907101446,6.9438543591,15.0336168157,37.828440774,24.9780116463,8.5676739625,29.3355708997,25.0361720852,18.4627055848,9.516701406889998,,0.0,0.0,13.963325538620001,,0.0,0.0,9.79794955347,,0.0,0.0,7.030324998279999,,0.0,0.0,15.102890864649998,,0.0,0.0,38.091460607609996,,0.0,0.0,25.0078464935,,0.0,0.0,8.66215618852,,0.0,0.0,29.159784726380003,,0.0,0.0,25.11071799085,,0.0,0.0,18.49578245715,,0.0,0.0,2002-09,2.1406699897993158,2.2447888829502998,low,high,Stagflation
