,IVV
2003-06-25 00:00:00+00:00,67.6411490955
2003-06-26 00:00:00+00:00,68.4728877871
2003-06-27 00:00:00+00:00,67.772841055
2003-06-30 00:00:00+00:00,67.772841055
2003-07-01 00:00:00+00:00,68.3550581391
2003-07-02 00:00:00+00:00,69.1729345192
2003-07-03 00:00:00+00:00,68.445163164
2003-07-07 00:00:00+00:00,69.8313943167
2003-07-08 00:00:00+00:00,70.1640897934
2003-07-09 00:00:00+00:00,69.734358136
2003-07-10 00:00:00+00:00,68.8748948214
2003-07-11 00:00:00+00:00,69.4917676843
2003-07-14 00:00:00+00:00,69.7967385379
2003-07-15 00:00:00+00:00,69.6650465784
2003-07-16 00:00:00+00:00,69.3323511017
2003-07-17 00:00:00+00:00,68.3411958276
2003-07-18 00:00:00+00:00,69.0343114039
2003-07-21 00:00:00+00:00,68.0986053759
2003-07-22 00:00:00+00:00,68.7709274849
2003-07-23 00:00:00+00:00,68.8402390425
2003-07-24 00:00:00+00:00,68.3342646718
2003-07-25 00:00:00+00:00,69.4917676843
2003-07-28 00:00:00+00:00,69.2630395441
2003-07-29 00:00:00+00:00,68.9580686905
2003-07-30 00:00:00+00:00,68.7362717061
2003-07-31 00:00:00+00:00,68.9372752232
2003-08-01 00:00:00+00:00,68.2926777372
2003-08-04 00:00:00+00:00,68.3411958276
2003-08-05 00:00:00+00:00,66.9203088961
2003-08-06 00:00:00+00:00,67.2807289958
2003-08-07 00:00:00+00:00,67.9530511048
2003-08-08 00:00:00+00:00,68.1332611547
2003-08-11 00:00:00+00:00,68.4382320083
2003-08-12 00:00:00+00:00,69.062036027
2003-08-13 00:00:00+00:00,68.7016159273
2003-08-14 00:00:00+00:00,68.9580686905
2003-08-15 00:00:00+00:00,68.9996556251
2003-08-18 00:00:00+00:00,69.6442531111
2003-08-19 00:00:00+00:00,69.8868435628
2003-08-20 00:00:00+00:00,69.6650465784
2003-08-21 00:00:00+00:00,69.8937747186
2003-08-22 00:00:00+00:00,69.2353149211
2003-08-25 00:00:00+00:00,69.2422460768
2003-08-26 00:00:00+00:00,69.4571119055
2003-08-27 00:00:00+00:00,69.4640430613
2003-08-28 00:00:00+00:00,69.8383254725
2003-08-29 00:00:00+00:00,70.233401351
2003-09-02 00:00:00+00:00,71.3285239616
2003-09-03 00:00:00+00:00,71.6612194383
2003-09-04 00:00:00+00:00,71.7374621517
2003-09-05 00:00:00+00:00,71.3562485847
2003-09-08 00:00:00+00:00,71.9107410457
2003-09-09 00:00:00+00:00,71.3839732077
2003-09-10 00:00:00+00:00,70.7463068775
2003-09-11 00:00:00+00:00,70.8641365255
2003-09-12 00:00:00+00:00,71.0928646657
