,IDU,IYH,IYK,IYE,IYF,IYC,IYZ,IYW,IYM,IYJ
2013-06-28,0.0,0.2622692799982519,0.2900704442975348,0.0,0.2100515087567379,0.23738898267318298,0.0,0.0,0.0,0.0
2013-07-01,0.0,0.26368001620890913,0.2946851808300444,0.0,0.20669756809300036,0.23469807487865466,0.0,0.0,0.0,0.0
2013-07-02,0.0,0.2631708230219585,0.2944699642527436,0.0,0.2069756619651429,0.2351444015226711,0.0,0.0,0.0,0.0
2013-07-03,0.0,0.26274697621137527,0.2943666511415232,0.0,0.20656972349785319,0.23607733761062716,0.0,0.0,0.0,0.0
2013-07-05,0.0,0.26365461047468086,0.2925131662489844,0.0,0.20766655002913445,0.23592881715488567,0.0,0.0,0.0,0.0
2013-07-08,0.0,0.2633537145081313,0.2922442826509985,0.0,0.20738405263558643,0.23678270603395568,0.0,0.0,0.0,0.0
2013-07-09,0.0,0.26246487557243564,0.29310855381370493,0.0,0.2077448996428495,0.23644792921361796,0.0,0.0,0.0,0.0
2013-07-10,0.0,0.2639545168543538,0.2929252387764284,0.0,0.20641771204196274,0.23646898918449116,0.0,0.0,0.0,0.0
2013-07-11,0.0,0.2637963477185096,0.2934986475386924,0.0,0.20582264139976333,0.23665190614163858,0.0,0.0,0.0,0.0
2013-07-12,0.0,0.2642976571424343,0.29264557304895267,0.0,0.20610255542061445,0.23672483265309935,0.0,0.0,0.0,0.0
2013-07-15,0.0,0.26434752776087145,0.29255655430628247,0.0,0.20678004633888294,0.23608668606008595,0.0,0.0,0.0,0.0
2013-07-16,0.0,0.2643740179523891,0.2916979927265434,0.0,0.20698770346672538,0.23670976484095999,0.0,0.0,0.0,0.0
2013-07-17,0.0,0.26405695755692926,0.2919711773421823,0.0,0.2072805374297477,0.23646158741585854,0.0,0.0,0.0,0.0
2013-07-18,0.0,0.263354489996274,0.29170668027091734,0.0,0.208788174635714,0.23592213534503523,0.0,0.0,0.0,0.0
2013-07-19,0.0,0.26566730201871236,0.2914355448593729,0.0,0.2079475781914998,0.23472194527611984,0.0,0.0,0.0,0.0
2013-07-22,0.0,0.2662390338702254,0.29073156757499574,0.0,0.20875944383295097,0.23404289988051838,0.0,0.0,0.0,0.0
2013-07-23,0.0,0.2659071263102878,0.29076536562697436,0.0,0.20883915562457286,0.23426064542632052,0.0,0.0,0.0,0.0
2013-07-24,0.0,0.26689064540193275,0.2907819203990054,0.0,0.20786088322949278,0.2342378731274492,0.0,0.0,0.0,0.0
2013-07-25,0.0,0.267459080029144,0.2906268144117378,0.0,0.20761492056009095,0.23407125987848715,0.0,0.0,0.0,0.0
2013-07-26,0.0,0.26820570430740653,0.2900568321055509,0.0,0.20679290863598898,0.23471720232557367,0.0,0.0,0.0,0.0
2013-07-29,0.0,0.2684946675872565,0.29083831235223395,0.0,0.20624409397662424,0.23419460826451052,0.0,0.0,0.0,0.0
2013-07-30,0.0,0.2686318715498728,0.2910122703110817,0.0,0.206226063449057,0.23390146645598292,0.0,0.0,0.0,0.0
2013-07-31,0.0,0.2689328940685022,0.29039749731868125,0.0,0.20554202984559644,0.2348994615619431,0.0,0.0,0.0,0.0
2013-08-01,0.0,0.26755032567081405,0.2908550293758663,0.0,0.20625104278669656,0.23511818545097715,0.0,0.0,0.0,0.0
2013-08-02,0.0,0.266977379224499,0.29099473506004475,0.0,0.2060314849229364,0.23577134227098775,0.0,0.0,0.0,0.0
2013-08-05,0.0,0.2669852421501606,0.2911769313072732,0.0,0.20565934144054845,0.23595321209736506,0.0,0.0,0.0,0.0
2013-08-06,0.0,0.2667854126883677,0.29224555267125624,0.0,0.20515716860052957,0.2355854442661961,0.0,0.0,0.0,0.0
2013-08-07,0.0,0.2680352796701998,0.291631425245217,0.0,0.20477881683279986,0.23532699571136906,0.0,0.0,0.0,0.0
2013-08-08,0.0,0.2671228727396658,0.2927871830252125,0.0,0.2043277386215725,0.2355356868156905,0.0,0.0,0.0,0.0
2013-08-09,0.0,0.267040652912482,0.292782895654815,0.0,0.20466843319114572,0.23528080997712403,0.0,0.0,0.0,0.0
2013-08-12,0.0,0.266744104749146,0.29336352001459554,0.0,0.20409146693906996,0.23557312504718356,0.0,0.0,0.0,0.0
2013-08-13,0.0,0.2671265087736797,0.2928749814502105,0.0,0.20434515802174108,0.23542577372863108,0.0,0.0,0.0,0.0
2013-08-14,0.0,0.26696115505452245,0.2927743318019044,0.0,0.2052744114759106,0.23476099815201798,0.0,0.0,0.0,0.0
2013-08-15,0.0,0.2670309256975969,0.29285394186302627,0.0,0.20547542741184158,0.23440668941409007,0.0,0.0,0.0,0.0
2013-08-16,0.0,0.26668100384318283,0.2925658360113266,0.0,0.20578380513414585,0.23473541583868313,0.0,0.0,0.0,0.0
2013-08-19,0.0,0.26842788944369245,0.29254644190221246,0.0,0.20399743593230726,0.2347931448626519,0.0,0.0,0.0,0.0
2013-08-20,0.0,0.2676298018792378,0.29176637432617986,0.0,0.2051472846637066,0.23522284468543964,0.0,0.0,0.0,0.0
2013-08-21,0.0,0.26825581764768724,0.29161891823225655,0.0,0.2051400781180962,0.23475001890532485,0.0,0.0,0.0,0.0
2013-08-22,0.0,0.26772134954762605,0.29152149311278525,0.0,0.2056923618957397,0.234831533819859,0.0,0.0,0.0,0.0
2013-08-23,0.0,0.2675919530701291,0.29243021587690576,0.0,0.20534589434469666,0.23439925824162738,0.0,0.0,0.0,0.0
2013-08-26,0.0,0.2693399173295315,0.29046583733382814,0.0,0.20472110140149163,0.23523980721005205,0.0,0.0,0.0,0.0
2013-08-27,0.0,0.2689918805855434,0.2921066319658875,0.0,0.20365764228147584,0.23500641986168355,0.0,0.0,0.0,0.0
2013-08-28,0.0,0.26994666585584276,0.2905505505876063,0.0,0.20372947700287758,0.23553622927716308,0.0,0.0,0.0,0.0
2013-08-29,0.0,0.26968506925063696,0.2911109262153094,0.0,0.2034805719153009,0.23548746991880531,0.0,0.0,0.0,0.0
2013-08-30,0.0,0.269790564908616,0.29185812835859526,0.0,0.20311441340724615,0.23499970256800143,0.0,0.0,0.0,0.0
2013-09-03,0.0,0.269883020526131,0.2906420143817958,0.0,0.20362468273207648,0.23561434981246818,0.0,0.0,0.0,0.0
2013-09-04,0.0,0.2706025880190615,0.2908934056849424,0.0,0.2030644905530561,0.23520579431776129,0.0,0.0,0.0,0.0
2013-09-05,0.0,0.2708387127428191,0.29061075899993566,0.0,0.20301758044907817,0.23529944185923635,0.0,0.0,0.0,0.0
2013-09-06,0.0,0.2709086929537064,0.2907128352067902,0.0,0.2031398489410477,0.2350052988127929,0.0,0.0,0.0,0.0
2013-09-09,0.0,0.2703135584901938,0.2906734108803835,0.0,0.20363193187047907,0.23514992169479249,0.0,0.0,0.0,0.0
2013-09-10,0.0,0.2699231696687406,0.28916024769158494,0.0,0.20467834997647064,0.2360085932304209,0.0,0.0,0.0,0.0
2013-09-11,0.0,0.26998855458585425,0.2893755529861516,0.0,0.20389413256029426,0.23651327753678236,0.0,0.0,0.0,0.0
