,IYC,IDU,IYZ,IYW,IYJ,IYH,IYF,IYE,IYK,IYM,IYR
2017-11-27,41.2226586753,62.0388041501,26.1315761151,40.2043710962,67.4408233151,162.2237481239,52.9212909774,30.4351139931,112.0863870271,91.5558342996,71.983215236
2017-11-28,41.7352219386,62.2946706537,26.4262931389,40.2771347988,68.2211460909,163.2020195958,53.854924233,30.6750863438,112.9980290525,92.6302376157,71.8255110156
2017-11-29,42.06887161,62.3343740767,26.8460416274,39.2390393095,68.4209848506,164.1144458725,54.4234236907,30.8157597907,113.2624052399,92.6394997132,71.7378975599
2017-11-30,42.3759260177,62.6520014605,26.9174881787,39.5349450331,69.3963883203,165.4407562335,54.6868746589,31.345353944,113.7455755134,92.6950722985,71.8167496701
2017-12-01,42.3420775003,62.387311974,26.9353498165,39.3409084931,68.6636462016,165.1491560832,54.7700697015,31.6184259292,113.9552531792,92.1393464454,71.9481698537
2017-12-04,42.8038679876,62.0961535388,26.9174881787,38.6205478382,68.9110656183,162.9574517278,55.1444473931,31.5853262946,114.7392653211,92.7506448838,71.3962050825
2017-12-05,42.5524218584,61.3020850793,26.3369849499,38.6714824299,68.430500982,162.5623805565,54.8532647441,31.4198281218,114.4201906122,92.1393464454,70.9756604949
2017-12-06,42.3275709929,61.5358941257,25.667173532,38.9091771915,68.5209042304,162.3742514273,54.7793135951,30.9812579636,114.8121966831,91.6484552752,70.9493764582
2017-12-07,42.448458555,61.6550043946,25.5153496106,39.1687010638,69.0680817866,162.5905999259,54.9780573079,31.1219314106,114.3746085109,92.2319674209,71.2385008622
2017-12-08,42.6346254006,61.8314640523,25.854720729,39.3239302958,69.3535657289,164.4436718486,55.2646180102,31.3784535785,114.6207518578,92.2134432258,71.4750571927
2017-12-11,42.7555129627,62.1711488933,26.3459157688,39.6683451544,69.206065692,164.9798398669,55.2045327016,31.6515255638,114.7210324806,92.4542577622,71.5539093028
2017-12-12,42.748259709,61.0726875243,26.3905698633,39.5155413791,69.286952809,165.5724466239,55.657483489,31.5274019341,114.8121966831,92.5931892255,71.8430337068
2017-12-13,42.7434242065,61.2182667419,26.6584944304,39.5664759709,69.448727043,166.1838662939,55.1444473931,31.4777524823,115.3956475794,92.8895763471,71.9919765815
2017-12-14,42.8377165049,61.0815105071,26.2208843041,39.5349450331,69.0062269324,164.3307943711,54.8578866909,31.3370790353,115.0856892908,91.8614835189,71.9481698537
2017-12-15,43.1230111515,61.3550229766,26.2744692175,39.9982072724,69.5962270799,166.1274275551,55.3755447336,31.2957044921,116.1523104605,92.3616367867,72.2460556032
2017-12-18,43.4905093403,60.6668303116,26.5781170603,40.4323640308,70.0101787963,166.2403050327,55.7822760529,31.5522266601,116.3893373871,93.9084070778,72.6490774996
